,unique_tx,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat,date_only,hour_only,day_of_the_week,num_day,month_only,year_only,session,classification
31241,9430574789596024,San Antonio,PR,690,20000,2015-08-26 21:03:25,23.91,-67.0770531123256,18.4767998944123,2015-08-26,21,Wednesday,3,8,2015,Evening-Night,Fraud
31242,9430574789596024,San Antonio,PR,690,20000,2015-10-23 22:24:31,66.6,-67.0674627170486,18.5655116710115,2015-10-23,22,Friday,5,10,2015,Evening-Night,Fraud
31243,9430574789596024,San Antonio,PR,690,20000,2015-09-19 19:58:40,59.29,-67.1470325302731,18.542848810701,2015-09-19,19,Saturday,6,9,2015,Evening-Night,Fraud
31244,9430574789596024,San Antonio,PR,690,20000,2015-10-20 23:59:09,139.27,-67.0913066696303,18.4515203718738,2015-10-20,23,Tuesday,2,10,2015,Evening-Night,Fraud
31245,9430574789596024,San Antonio,PR,690,20000,2015-08-10 02:13:49,128.18,-67.0335491290362,18.4756684147732,2015-08-10,2,Monday,1,8,2015,Late Night,Fraud
31246,9430574789596024,San Antonio,PR,690,20000,2015-10-19 19:12:20,31.83,2.28348752446728,47.9211985381861,2015-10-19,19,Monday,1,10,2015,Evening-Night,Fraud
31247,9430574789596024,San Antonio,PR,690,20000,2015-08-28 18:30:56,47.83,-67.0581928853655,18.4981483310237,2015-08-28,18,Friday,5,8,2015,Afternoon,Fraud
31248,9430574789596024,San Antonio,PR,690,20000,2015-09-27 00:05:49,131.61,-67.0952491011621,18.4959142653397,2015-09-27,24,Sunday,0,9,2015,Evening-Night,Fraud
31249,9430574789596024,San Antonio,PR,690,20000,2015-08-08 03:03:49,118.72,-67.0568136635182,18.419842775342,2015-08-08,3,Saturday,6,8,2015,Late Night,Fraud
31250,9430574789596024,San Antonio,PR,690,20000,2015-08-14 20:24:39,163.74,-67.1656518274437,18.4895550411624,2015-08-14,20,Friday,5,8,2015,Evening-Night,Fraud
31251,9430574789596024,San Antonio,PR,690,20000,2015-08-09 06:09:57,171.58,-67.0889826392322,18.5355145652212,2015-08-09,6,Sunday,0,8,2015,Late Night,Fraud
31252,9430574789596024,San Antonio,PR,690,20000,2015-09-17 15:05:14,117.77,-67.0676530752588,18.4910598372262,2015-09-17,15,Thursday,4,9,2015,Afternoon,Fraud
31253,9430574789596024,San Antonio,PR,690,20000,2015-10-14 17:49:50,40.03,-67.0310993092661,18.5151407300825,2015-10-14,17,Wednesday,3,10,2015,Afternoon,Fraud
31254,9430574789596024,San Antonio,PR,690,20000,2015-10-29 00:13:29,58.88,-67.0267701094318,18.4431753533108,2015-10-29,24,Thursday,4,10,2015,Evening-Night,Fraud
31255,9430574789596024,San Antonio,PR,690,20000,2015-07-31 22:30:35,13.59,-67.1228433072715,18.5584107312453,2015-07-31,22,Friday,5,7,2015,Evening-Night,Fraud
31256,9430574789596024,San Antonio,PR,690,20000,2015-08-23 19:12:57,70.23,-67.0219671249953,18.4541625736401,2015-08-23,19,Sunday,0,8,2015,Evening-Night,Fraud
31257,9430574789596024,San Antonio,PR,690,20000,2015-08-13 01:04:29,71.21,-67.173714493382,18.521148315361,2015-08-13,1,Thursday,4,8,2015,Late Night,Fraud
31258,9430574789596024,San Antonio,PR,690,20000,2015-09-03 21:57:34,77.98,-67.1081873572974,18.5527515120894,2015-09-03,21,Thursday,4,9,2015,Evening-Night,Fraud
31259,9430574789596024,San Antonio,PR,690,20000,2015-08-13 22:47:51,104.87,-67.0904288500628,18.5117102129473,2015-08-13,22,Thursday,4,8,2015,Evening-Night,Fraud
31260,9430574789596024,San Antonio,PR,690,20000,2015-09-01 18:19:50,31.51,-67.0486323118106,18.4540143033707,2015-09-01,18,Tuesday,2,9,2015,Afternoon,Fraud
31261,9430574789596024,San Antonio,PR,690,20000,2015-09-15 04:07:10,68.47,-67.1677119673677,18.4923184027566,2015-09-15,4,Tuesday,2,9,2015,Late Night,Fraud
31262,9430574789596024,San Antonio,PR,690,20000,2015-09-06 00:13:00,137.45,-67.0569638800799,18.458189613351,2015-09-06,24,Sunday,0,9,2015,Evening-Night,Fraud
31263,9430574789596024,San Antonio,PR,690,20000,2015-09-04 23:33:55,36.56,-67.032605462386,18.5283199035194,2015-09-04,23,Friday,5,9,2015,Evening-Night,Fraud
31264,9430574789596024,San Antonio,PR,690,20000,2015-09-22 19:09:21,31.62,-67.0304468541587,18.489706616487,2015-09-22,19,Tuesday,2,9,2015,Evening-Night,Fraud
31265,9430574789596024,San Antonio,PR,690,20000,2015-09-23 17:47:57,53.94,-67.0804591528001,18.4884040387328,2015-09-23,17,Wednesday,3,9,2015,Afternoon,Fraud
31266,9430574789596024,San Antonio,PR,690,20000,2015-09-18 19:21:46,44.12,-67.0982866880836,18.5672998857394,2015-09-18,19,Friday,5,9,2015,Evening-Night,Fraud
31267,9430574789596024,San Antonio,PR,690,20000,2015-10-17 19:52:30,42.55,-67.1616243300268,18.4784747866413,2015-10-17,19,Saturday,6,10,2015,Evening-Night,Fraud
31268,9430574789596024,San Antonio,PR,690,20000,2015-08-22 22:24:49,14.61,-67.1324854877518,18.5565362107676,2015-08-22,22,Saturday,6,8,2015,Evening-Night,Fraud
31269,9430574789596024,San Antonio,PR,690,20000,2015-08-29 00:34:07,131.81,-67.105837034738,18.5759837767175,2015-08-29,24,Saturday,6,8,2015,Evening-Night,Fraud
31270,9430574789596024,San Antonio,PR,690,20000,2015-10-10 01:26:05,71.29,-67.0218814162323,18.5158644261376,2015-10-10,1,Saturday,6,10,2015,Late Night,Fraud
31271,9430574789596024,San Antonio,PR,690,20000,2015-09-30 14:37:49,112.51,-67.0820845054787,18.4693049527052,2015-09-30,14,Wednesday,3,9,2015,Afternoon,Fraud
31272,9430574789596024,San Antonio,PR,690,20000,2015-08-23 21:09:56,83.04,-67.1472379036973,18.5191747031917,2015-08-23,21,Sunday,0,8,2015,Evening-Night,Fraud
31273,9430574789596024,San Antonio,PR,690,20000,2015-09-25 22:20:24,163.02,-67.1219899375414,18.5161299526893,2015-09-25,22,Friday,5,9,2015,Evening-Night,Fraud
31274,9430574789596024,San Antonio,PR,690,20000,2015-08-11 19:53:41,54.29,-67.083374933888,18.579338010429,2015-08-11,19,Tuesday,2,8,2015,Evening-Night,Fraud
31275,9430574789596024,San Antonio,PR,690,20000,2015-10-19 00:25:50,77.89,-67.1046528975578,18.4514437572951,2015-10-19,24,Monday,1,10,2015,Evening-Night,Fraud
31276,9430574789596024,San Antonio,PR,690,20000,2015-08-16 21:32:42,61.43,-67.088519071565,18.5477060759871,2015-08-16,21,Sunday,0,8,2015,Evening-Night,Fraud
31277,9430574789596024,San Antonio,PR,690,20000,2015-10-12 01:15:17,141.77,-67.142790095785,18.4473149432203,2015-10-12,1,Monday,1,10,2015,Late Night,Fraud
31278,9430574789596024,San Antonio,PR,690,20000,2015-08-07 19:43:53,161.59,-67.1112155488033,18.4962400896561,2015-08-07,19,Friday,5,8,2015,Evening-Night,Fraud
31279,9430574789596024,San Antonio,PR,690,20000,2015-10-24 02:59:49,105.33,-67.0802023727304,18.4534745790384,2015-10-24,2,Saturday,6,10,2015,Late Night,Fraud
31280,9430574789596024,San Antonio,PR,690,20000,2015-08-24 18:21:49,104.0,-67.0378523506705,18.5443638680951,2015-08-24,18,Monday,1,8,2015,Afternoon,Fraud
31281,9430574789596024,San Antonio,PR,690,20000,2015-09-05 13:51:53,128.06,-67.0670740122174,18.45652631362,2015-09-05,13,Saturday,6,9,2015,Afternoon,Fraud
31282,9430574789596024,San Antonio,PR,690,20000,2015-10-22 22:11:46,65.0,-67.1514425475286,18.4461486629774,2015-10-22,22,Thursday,4,10,2015,Evening-Night,Fraud
31283,9430574789596024,San Antonio,PR,690,20000,2015-08-30 15:05:08,27.69,-67.087395196274,18.4090421078887,2015-08-30,15,Sunday,0,8,2015,Afternoon,Fraud
31284,9430574789596024,San Antonio,PR,690,20000,2015-09-10 15:01:44,116.17,-67.1621673945836,18.4770097676567,2015-09-10,15,Thursday,4,9,2015,Afternoon,Fraud
31285,9430574789596024,San Antonio,PR,690,20000,2015-08-07 21:08:50,0.48,-67.131149314053,18.5329170782566,2015-08-07,21,Friday,5,8,2015,Evening-Night,Fraud
31286,9430574789596024,San Antonio,PR,690,20000,2015-09-13 19:52:11,181.81,-67.1297390484751,18.5545831581417,2015-09-13,19,Sunday,0,9,2015,Evening-Night,Fraud
31287,9430574789596024,San Antonio,PR,690,20000,2015-08-25 17:02:04,109.76,-67.0822304812539,18.5756804037019,2015-08-25,17,Tuesday,2,8,2015,Afternoon,Fraud
31288,9430574789596024,San Antonio,PR,690,20000,2015-10-28 01:20:49,8.67,-67.121643981912,18.4401916359045,2015-10-28,1,Wednesday,3,10,2015,Late Night,Fraud
31289,9430574789596024,San Antonio,PR,690,20000,2015-10-28 00:18:26,97.08,-67.1035895502563,18.506045329515,2015-10-28,24,Wednesday,3,10,2015,Evening-Night,Fraud
31290,9430574789596024,San Antonio,PR,690,20000,2015-09-29 14:55:59,74.66,-67.1367181262076,18.4796858295704,2015-09-29,14,Tuesday,2,9,2015,Afternoon,Fraud
31291,9430574789596024,San Antonio,PR,690,20000,2015-10-14 16:41:56,44.39,-67.0762549767908,18.4934375835761,2015-10-14,16,Wednesday,3,10,2015,Afternoon,Fraud
31292,9430574789596024,San Antonio,PR,690,20000,2015-08-26 19:58:24,90.53,-67.1770776283887,18.5023692760382,2015-08-26,19,Wednesday,3,8,2015,Evening-Night,Fraud
31293,9430574789596024,San Antonio,PR,690,20000,2015-09-02 03:54:10,65.52,-67.1236367937978,18.5446708559179,2015-09-02,3,Wednesday,3,9,2015,Late Night,Fraud
31294,9430574789596024,San Antonio,PR,690,20000,2015-08-14 20:03:55,112.56,-67.0921270943981,18.5241923251598,2015-08-14,20,Friday,5,8,2015,Evening-Night,Fraud
31295,9430574789596024,San Antonio,PR,690,20000,2015-10-11 20:30:08,93.63,-67.0718159437536,18.4686160841005,2015-10-11,20,Sunday,0,10,2015,Evening-Night,Fraud
31296,9430574789596024,San Antonio,PR,690,20000,2015-08-04 19:43:46,30.68,-67.0532472733121,18.5511172520106,2015-08-04,19,Tuesday,2,8,2015,Evening-Night,Fraud
31297,9430574789596024,San Antonio,PR,690,20000,2015-10-19 20:52:30,41.18,7.80140817985202,0.186403466337333,2015-10-19,20,Monday,1,10,2015,Evening-Night,Fraud
31298,9430574789596024,San Antonio,PR,690,20000,2015-09-11 23:27:35,80.95,-67.1235484427729,18.4994099957452,2015-09-11,23,Friday,5,9,2015,Evening-Night,Fraud
31299,9430574789596024,San Antonio,PR,690,20000,2015-08-15 20:32:10,5.91,-64.6792163267632,64.6173473534602,2015-08-15,20,Saturday,6,8,2015,Evening-Night,Fraud
31300,9430574789596024,San Antonio,PR,690,20000,2015-08-15 20:32:11,95.96,-67.134789113769,18.4337250688163,2015-08-15,20,Saturday,6,8,2015,Evening-Night,Fraud
31301,9430574789596024,San Antonio,PR,690,20000,2015-08-15 20:32:12,34.28,-67.1532132210636,18.5608532592549,2015-08-15,20,Saturday,6,8,2015,Evening-Night,Fraud
31302,9430574789596024,San Antonio,PR,690,20000,2015-08-04 20:57:52,21.1,-67.1632419945135,18.5126497713779,2015-08-04,20,Tuesday,2,8,2015,Evening-Night,Fraud
31303,9430574789596024,San Antonio,PR,690,20000,2015-09-06 19:38:36,105.87,-67.1152667258742,18.5609774586624,2015-09-06,19,Sunday,0,9,2015,Evening-Night,Fraud
31304,9430574789596024,San Antonio,PR,690,20000,2015-08-26 15:40:46,47.86,-67.155024130046,18.5169659864354,2015-08-26,15,Wednesday,3,8,2015,Afternoon,Fraud
31305,9430574789596024,San Antonio,PR,690,20000,2015-09-05 16:32:37,56.49,-67.0627176065599,18.5639806010462,2015-09-05,16,Saturday,6,9,2015,Afternoon,Fraud
31306,9430574789596024,San Antonio,PR,690,20000,2015-10-23 22:39:44,107.91,-67.1144422992183,18.5590303530435,2015-10-23,22,Friday,5,10,2015,Evening-Night,Fraud
31307,9430574789596024,San Antonio,PR,690,20000,2015-07-31 20:44:41,7.3,-67.0805689577131,18.5638943507446,2015-07-31,20,Friday,5,7,2015,Evening-Night,Fraud
31308,9430574789596024,San Antonio,PR,690,20000,2015-10-16 23:24:31,88.84,-67.109561077078,18.4539707571543,2015-10-16,23,Friday,5,10,2015,Evening-Night,Fraud
31309,9430574789596024,San Antonio,PR,690,20000,2015-10-21 22:59:02,35.01,-67.0634866460736,18.4163314086005,2015-10-21,22,Wednesday,3,10,2015,Evening-Night,Fraud
31310,9430574789596024,San Antonio,PR,690,20000,2015-09-23 23:06:31,105.91,-67.1231189043567,18.4097435075124,2015-09-23,23,Wednesday,3,9,2015,Evening-Night,Fraud
31311,9430574789596024,San Antonio,PR,690,20000,2015-08-22 16:21:30,53.15,-67.1684187864719,18.4969505788473,2015-08-22,16,Saturday,6,8,2015,Afternoon,Fraud
31312,9430574789596024,San Antonio,PR,690,20000,2015-10-25 21:16:18,61.34,-67.0272313545061,18.5358238155223,2015-10-25,21,Sunday,0,10,2015,Evening-Night,Fraud
31313,9430574789596024,San Antonio,PR,690,20000,2015-08-21 23:04:22,852.8,-67.1495451337065,18.5662624734403,2015-08-21,23,Friday,5,8,2015,Evening-Night,Fraud
31314,9430574789596024,San Antonio,PR,690,20000,2015-08-30 20:46:50,121.83,-67.0410040565941,18.5428593378753,2015-08-30,20,Sunday,0,8,2015,Evening-Night,Fraud
31315,9430574789596024,San Antonio,PR,690,20000,2015-10-01 19:53:35,120.94,-67.0526799602713,18.5153734357071,2015-10-01,19,Thursday,4,10,2015,Evening-Night,Fraud
31316,9430574789596024,San Antonio,PR,690,20000,2015-08-02 01:12:14,97.38,-67.1149681369744,18.4607107503853,2015-08-02,1,Sunday,0,8,2015,Late Night,Fraud
31317,9430574789596024,San Antonio,PR,690,20000,2015-09-13 22:20:35,209.67,-67.1671930559657,18.5298594255488,2015-09-13,22,Sunday,0,9,2015,Evening-Night,Fraud
31318,9430574789596024,San Antonio,PR,690,20000,2015-10-11 14:43:58,151.8,-67.0520633223088,18.5588040306034,2015-10-11,14,Sunday,0,10,2015,Afternoon,Fraud
31319,9430574789596024,San Antonio,PR,690,20000,2015-09-02 22:10:12,66.65,-67.0838439755568,18.4373508583984,2015-09-02,22,Wednesday,3,9,2015,Evening-Night,Fraud
31320,9430574789596024,San Antonio,PR,690,20000,2015-09-03 23:30:35,142.41,-67.0829252350027,18.4214038796453,2015-09-03,23,Thursday,4,9,2015,Evening-Night,Fraud
31321,9430574789596024,San Antonio,PR,690,20000,2015-08-07 18:34:22,113.88,-67.106704279657,18.4941041893265,2015-08-07,18,Friday,5,8,2015,Afternoon,Fraud
31322,9430574789596024,San Antonio,PR,690,20000,2015-10-08 22:13:07,6.1,-67.0302794739932,18.4546932829345,2015-10-08,22,Thursday,4,10,2015,Evening-Night,Fraud
31323,9430574789596024,San Antonio,PR,690,20000,2015-09-28 22:15:51,144.33,-67.031681161703,18.5455094148226,2015-09-28,22,Monday,1,9,2015,Evening-Night,Fraud
31324,9430574789596024,San Antonio,PR,690,20000,2015-10-16 21:47:36,115.52,-67.1150601832828,18.5555090075431,2015-10-16,21,Friday,5,10,2015,Evening-Night,Fraud
31325,9430574789596024,San Antonio,PR,690,20000,2015-09-10 13:21:49,16.09,-67.051347541204,18.5402642414462,2015-09-10,13,Thursday,4,9,2015,Afternoon,Fraud
31326,9430574789596024,San Antonio,PR,690,20000,2015-10-23 18:57:57,119.09,2.82084891746548,57.2911859673135,2015-10-23,18,Friday,5,10,2015,Afternoon,Fraud
31327,9430574789596024,San Antonio,PR,690,20000,2015-09-10 01:48:36,146.85,-67.1241920367665,18.5501612235974,2015-09-10,1,Thursday,4,9,2015,Late Night,Fraud
31328,9430574789596024,San Antonio,PR,690,20000,2015-08-16 19:45:31,91.23,-67.171438790543,18.5137635608352,2015-08-16,19,Sunday,0,8,2015,Evening-Night,Fraud
31329,9430574789596024,San Antonio,PR,690,20000,2015-09-06 03:41:56,179.74,-67.1087114700243,18.5547829303366,2015-09-06,3,Sunday,0,9,2015,Late Night,Fraud
31330,9430574789596024,San Antonio,PR,690,20000,2015-08-16 18:21:05,26.44,54.5164075634766,-23.5800805858249,2015-08-16,18,Sunday,0,8,2015,Afternoon,Fraud
31331,9430574789596024,San Antonio,PR,690,20000,2015-09-11 17:06:22,28.72,-67.1863583285451,18.4891590084065,2015-09-11,17,Friday,5,9,2015,Afternoon,Fraud
31332,9430574789596024,San Antonio,PR,690,20000,2015-08-24 21:48:41,125.9,-67.1627644018372,18.4889881596501,2015-08-24,21,Monday,1,8,2015,Evening-Night,Fraud
31333,9430574789596024,San Antonio,PR,690,20000,2015-09-17 22:38:35,34.69,-67.0970901994354,18.4940475587675,2015-09-17,22,Thursday,4,9,2015,Evening-Night,Fraud
31334,9430574789596024,San Antonio,PR,690,20000,2015-08-22 22:30:43,140.62,-67.118474237763,18.5145633089009,2015-08-22,22,Saturday,6,8,2015,Evening-Night,Fraud
31335,9430574789596024,San Antonio,PR,690,20000,2015-10-30 01:31:28,34.52,-67.1480804473699,18.4929552190886,2015-10-30,1,Friday,5,10,2015,Late Night,Fraud
31336,9430574789596024,San Antonio,PR,690,20000,2015-09-04 20:26:13,103.61,-67.1430889774084,18.519603373893,2015-09-04,20,Friday,5,9,2015,Evening-Night,Fraud
31337,9430574789596024,San Antonio,PR,690,20000,2015-08-15 18:02:02,148.28,-67.1779655385797,18.4677997575392,2015-08-15,18,Saturday,6,8,2015,Afternoon,Fraud
31338,9430574789596024,San Antonio,PR,690,20000,2015-10-03 03:18:59,46.63,-67.1555179274679,18.5338069232547,2015-10-03,3,Saturday,6,10,2015,Late Night,Fraud
31339,9430574789596024,San Antonio,PR,690,20000,2015-10-29 00:03:51,80.6,-67.037614273971,18.4843712207583,2015-10-29,24,Thursday,4,10,2015,Evening-Night,Fraud
31340,9430574789596024,San Antonio,PR,690,20000,2015-10-15 23:59:56,99.31,-67.1488645531317,18.5325928331161,2015-10-15,23,Thursday,4,10,2015,Evening-Night,Fraud
31341,9430574789596024,San Antonio,PR,690,20000,2015-08-10 23:00:56,75.95,-67.0492413693132,18.5610815824925,2015-08-10,23,Monday,1,8,2015,Evening-Night,Fraud
31342,9430574789596024,San Antonio,PR,690,20000,2015-08-15 17:23:04,61.34,-67.1190017951143,18.426562682794,2015-08-15,17,Saturday,6,8,2015,Afternoon,Fraud
31343,9430574789596024,San Antonio,PR,690,20000,2015-08-06 17:16:10,118.97,-67.1024975170619,18.4111391913222,2015-08-06,17,Thursday,4,8,2015,Afternoon,Fraud
31344,9430574789596024,San Antonio,PR,690,20000,2015-10-10 22:01:46,101.19,-67.1685643021902,18.4887523280275,2015-10-10,22,Saturday,6,10,2015,Evening-Night,Fraud
31345,9430574789596024,San Antonio,PR,690,20000,2015-09-13 01:07:24,149.34,-67.0526347597899,18.470935454408,2015-09-13,1,Sunday,0,9,2015,Late Night,Fraud
31346,9430574789596024,San Antonio,PR,690,20000,2015-08-13 19:38:53,139.21,-67.1434538478608,18.5404121859363,2015-08-13,19,Thursday,4,8,2015,Evening-Night,Fraud
31347,9430574789596024,San Antonio,PR,690,20000,2015-10-21 01:20:24,166.58,-67.0810149583159,18.5700663013816,2015-10-21,1,Wednesday,3,10,2015,Late Night,Fraud
31348,9430574789596024,San Antonio,PR,690,20000,2015-09-03 19:37:42,63.26,-67.1281380575583,18.4167921312797,2015-09-03,19,Thursday,4,9,2015,Evening-Night,Fraud
31349,9430574789596024,San Antonio,PR,690,20000,2015-10-02 23:48:26,67.22,-67.0914534253713,18.5835470038688,2015-10-02,23,Friday,5,10,2015,Evening-Night,Fraud
31350,9430574789596024,San Antonio,PR,690,20000,2015-09-25 22:54:51,80.13,-67.1125599359155,18.4729784089627,2015-09-25,22,Friday,5,9,2015,Evening-Night,Fraud
31351,9430574789596024,San Antonio,PR,690,20000,2015-08-07 22:17:41,46.13,-67.1362218500633,18.5041278311623,2015-08-07,22,Friday,5,8,2015,Evening-Night,Fraud
31352,9430574789596024,San Antonio,PR,690,20000,2015-08-19 22:29:09,57.41,-67.1818195887726,18.4923776950474,2015-08-19,22,Wednesday,3,8,2015,Evening-Night,Fraud
31353,9430574789596024,San Antonio,PR,690,20000,2015-08-20 18:25:41,171.73,-67.1423973172192,18.5194949640785,2015-08-20,18,Thursday,4,8,2015,Afternoon,Fraud
31354,9430574789596024,San Antonio,PR,690,20000,2015-08-31 19:40:17,131.44,-67.0747950486609,18.5260810520092,2015-08-31,19,Monday,1,8,2015,Evening-Night,Fraud
31355,9430574789596024,San Antonio,PR,690,20000,2015-10-02 02:26:00,172.36,-67.0745063473354,18.483849167484,2015-10-02,2,Friday,5,10,2015,Late Night,Fraud
31356,9430574789596024,San Antonio,PR,690,20000,2015-08-07 22:24:00,115.01,-67.0186114176526,18.533605737372,2015-08-07,22,Friday,5,8,2015,Evening-Night,Fraud
31357,9430574789596024,San Antonio,PR,690,20000,2015-08-29 19:55:49,63.08,-67.0985709933792,18.4904732095415,2015-08-29,19,Saturday,6,8,2015,Evening-Night,Fraud
31358,9430574789596024,San Antonio,PR,690,20000,2015-10-09 17:13:23,17.81,-67.083095397401,18.5595834239816,2015-10-09,17,Friday,5,10,2015,Afternoon,Fraud
31359,9430574789596024,San Antonio,PR,690,20000,2015-07-31 21:03:24,28.82,-67.1130606582049,18.4550046069113,2015-07-31,21,Friday,5,7,2015,Evening-Night,Fraud
31360,9430574789596024,San Antonio,PR,690,20000,2015-10-01 00:11:14,76.8,-67.1502776157099,18.5029652748981,2015-10-01,24,Thursday,4,10,2015,Evening-Night,Fraud
31361,9430574789596024,San Antonio,PR,690,20000,2015-08-22 18:51:31,61.13,-67.108966825052,18.5475441333515,2015-08-22,18,Saturday,6,8,2015,Afternoon,Fraud
31362,9430574789596024,San Antonio,PR,690,20000,2015-09-27 22:18:33,68.7,-67.0396763642877,18.5447888588336,2015-09-27,22,Sunday,0,9,2015,Evening-Night,Fraud
31363,9430574789596024,San Antonio,PR,690,20000,2015-10-07 22:17:30,84.3,-67.1527271595401,18.4921897917783,2015-10-07,22,Wednesday,3,10,2015,Evening-Night,Fraud
31364,9430574789596024,San Antonio,PR,690,20000,2015-10-07 19:52:10,97.98,-67.1315387962524,18.5756133748561,2015-10-07,19,Wednesday,3,10,2015,Evening-Night,Fraud
31365,9430574789596024,San Antonio,PR,690,20000,2015-09-28 00:30:07,141.52,-67.0665102765716,18.5439879539654,2015-09-28,24,Monday,1,9,2015,Evening-Night,Fraud
31366,9430574789596024,San Antonio,PR,690,20000,2015-09-07 22:40:10,146.34,-67.1573290973849,18.4955772624907,2015-09-07,22,Monday,1,9,2015,Evening-Night,Fraud
31367,9430574789596024,San Antonio,PR,690,20000,2015-08-27 21:38:53,84.07,-67.09533536525,18.4585417903809,2015-08-27,21,Thursday,4,8,2015,Evening-Night,Fraud
31368,9430574789596024,San Antonio,PR,690,20000,2015-10-20 00:47:57,89.1,-67.1746622106051,18.4903496104666,2015-10-20,24,Tuesday,2,10,2015,Evening-Night,Fraud
31369,9430574789596024,San Antonio,PR,690,20000,2015-10-13 22:18:24,89.84,-67.1750461628906,18.476673484822,2015-10-13,22,Tuesday,2,10,2015,Evening-Night,Fraud
31370,9430574789596024,San Antonio,PR,690,20000,2015-09-28 18:59:59,85.14,-67.1223250028102,18.4412115557351,2015-09-28,18,Monday,1,9,2015,Afternoon,Fraud
31371,9430574789596024,San Antonio,PR,690,20000,2015-10-09 00:54:43,69.05,-67.1858348554225,18.5142756566142,2015-10-09,24,Friday,5,10,2015,Evening-Night,Fraud
31372,9430574789596024,San Antonio,PR,690,20000,2015-08-19 21:04:09,64.81,-67.1084043169915,18.5006785021111,2015-08-19,21,Wednesday,3,8,2015,Evening-Night,Fraud
31373,9430574789596024,San Antonio,PR,690,20000,2015-09-18 21:29:05,29.2,-67.1093030333356,18.4094216996186,2015-09-18,21,Friday,5,9,2015,Evening-Night,Fraud
31374,9430574789596024,San Antonio,PR,690,20000,2015-08-18 01:33:11,33.05,-67.0359357502323,18.4840456265468,2015-08-18,1,Tuesday,2,8,2015,Late Night,Fraud
31375,9430574789596024,San Antonio,PR,690,20000,2015-09-27 18:17:51,90.76,-67.0470887690414,18.5552437510467,2015-09-27,18,Sunday,0,9,2015,Afternoon,Fraud
31376,9430574789596024,San Antonio,PR,690,20000,2015-08-19 17:38:34,86.61,-67.0941187743927,18.5619690701175,2015-08-19,17,Wednesday,3,8,2015,Afternoon,Fraud
31377,9430574789596024,San Antonio,PR,690,20000,2015-08-08 20:24:23,73.52,-67.0527749002392,18.4760778229363,2015-08-08,20,Saturday,6,8,2015,Evening-Night,Fraud
31378,9430574789596024,San Antonio,PR,690,20000,2015-10-01 17:50:50,30.7,-67.1138778704207,18.4397463971835,2015-10-01,17,Thursday,4,10,2015,Afternoon,Fraud
31379,9430574789596024,San Antonio,PR,690,20000,2015-10-20 18:00:35,80.49,-67.1087093842222,18.4215636054734,2015-10-20,18,Tuesday,2,10,2015,Afternoon,Fraud
31380,9430574789596024,San Antonio,PR,690,20000,2015-10-29 14:27:00,51.63,-67.0350565189511,18.4787240430256,2015-10-29,14,Thursday,4,10,2015,Afternoon,Fraud
31381,9430574789596024,San Antonio,PR,690,20000,2015-08-30 18:48:34,119.1,-67.0259794094641,18.4689684979439,2015-08-30,18,Sunday,0,8,2015,Afternoon,Fraud
31382,9430574789596024,San Antonio,PR,690,20000,2015-09-28 20:53:10,81.72,-67.0089789123289,18.4974444172238,2015-09-28,20,Monday,1,9,2015,Evening-Night,Fraud
31383,9430574789596024,San Antonio,PR,690,20000,2015-08-21 20:52:48,14.22,-67.1140661841473,18.5803663608906,2015-08-21,20,Friday,5,8,2015,Evening-Night,Fraud
31384,9430574789596024,San Antonio,PR,690,20000,2015-10-03 20:19:25,202.34,-67.0292595243705,18.5128847423884,2015-10-03,20,Saturday,6,10,2015,Evening-Night,Fraud
31385,9430574789596024,San Antonio,PR,690,20000,2015-10-29 19:45:22,20.94,-67.0828377844181,18.5209240212774,2015-10-29,19,Thursday,4,10,2015,Evening-Night,Fraud
31386,9430574789596024,San Antonio,PR,690,20000,2015-10-17 22:30:47,51.09,-67.0919097465473,18.5783546779789,2015-10-17,22,Saturday,6,10,2015,Evening-Night,Fraud
31387,9430574789596024,San Antonio,PR,690,20000,2015-10-17 20:29:37,182.92,-67.109453931071,18.5287514442474,2015-10-17,20,Saturday,6,10,2015,Evening-Night,Fraud
31388,9430574789596024,San Antonio,PR,690,20000,2015-08-14 17:44:49,135.68,-67.0377381871216,18.5305239418498,2015-08-14,17,Friday,5,8,2015,Afternoon,Fraud
31389,9430574789596024,San Antonio,PR,690,20000,2015-09-23 03:51:43,98.69,-67.1201792551318,18.5816909086279,2015-09-23,3,Wednesday,3,9,2015,Late Night,Fraud
31390,9430574789596024,San Antonio,PR,690,20000,2015-08-07 21:23:16,84.81,-67.1475777673834,18.5273277117945,2015-08-07,21,Friday,5,8,2015,Evening-Night,Fraud
31391,9430574789596024,San Antonio,PR,690,20000,2015-08-03 00:19:43,44.29,-4.63154754655537,40.8481014202782,2015-08-03,24,Monday,1,8,2015,Evening-Night,Fraud
31392,9430574789596024,San Antonio,PR,690,20000,2015-08-12 23:16:46,64.8,-67.0655738173699,18.5560271390856,2015-08-12,23,Wednesday,3,8,2015,Evening-Night,Fraud
31393,9430574789596024,San Antonio,PR,690,20000,2015-08-06 15:48:24,181.47,-67.1079310005834,18.4862909138171,2015-08-06,15,Thursday,4,8,2015,Afternoon,Fraud
31394,9430574789596024,San Antonio,PR,690,20000,2015-08-01 22:23:05,992.04,-67.0970653706898,18.4508807074903,2015-08-01,22,Saturday,6,8,2015,Evening-Night,Fraud
